entity,added,deleted,commits
packages/react-server-dom-turbopack/src/server/ReactFlightDOMServerNode.js,545,56,9
packages/react-server-dom-webpack/src/server/ReactFlightDOMServerNode.js,545,56,8
packages/react-server-dom-parcel/src/server/ReactFlightDOMServerNode.js,545,59,10
packages/react-dom/src/__tests__/ReactComponentLifeCycle-test.js,543,592,3
compiler/packages/babel-plugin-react-compiler/src/HIR/Globals.ts,537,168,17
fixtures/ssr/src/components/LargeContent.js,536,245,5
compiler/packages/babel-plugin-react-compiler/src/HIR/Environment.ts,535,626,52
fixtures/view-transition/src/components/Page.js,533,206,37
packages/react-native-renderer/src/ReactFiberConfigFabric.js,530,160,32
packages/react-server/src/ReactFlightServerConfigDebugNode.js,519,164,16
packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js,517,0,1
packages/react-dom/src/__tests__/ReactDOM-test.js,501,121,6
compiler/packages/snap/src/runner.ts,501,200,8
packages/react-reconciler/src/ReactFiberGestureScheduler.js,491,234,12
compiler/packages/babel-plugin-react-compiler/src/Validation/ValidateSourceLocations.ts,491,181,8
packages/react-reconciler/src/__tests__/ReactDefaultTransitionIndicator-test.js,485,5,3
packages/shared/ReactPerformanceTrackProperties.js,476,23,10
compiler/packages/babel-plugin-react-compiler/src/ReactiveScopes/BuildReactiveFunction.ts,475,482,6
fixtures/dom/src/components/fixtures/fragment-refs/TextNodesCase.js,471,1,2
packages/react-dom/src/__tests__/ReactUpdates-test.js,470,140,7
packages/react-devtools-shared/src/__tests__/profilerContext-test.js,468,28,5
packages/react-dom/src/__tests__/ReactDOMViewTransition-test.js,465,0,2
packages/eslint-plugin-react-hooks/src/shared/RunReactCompiler.ts,456,102,11
packages/react-dom/src/__tests__/ReactDOMSelect-test.js,452,409,3
compiler/packages/babel-plugin-react-compiler/src/Utils/TestUtils.ts,450,279,15
packages/react-devtools-shared/src/devtools/views/SuspenseTab/SuspenseBreadcrumbs.js,449,131,10
packages/react-devtools-shared/src/backend/profilingHooks.js,449,440,4
packages/react-devtools-shared/src/__tests__/storeComponentFilters-test.js,445,79,13
packages/react-reconciler/src/ReactFiberTreeReflection.js,439,104,13
scripts/flow/environment.js,438,165,12
compiler/packages/babel-plugin-react-compiler/src/HIR/HIR.ts,427,184,41
compiler/packages/babel-plugin-react-compiler/src/Inference/InferReferenceEffects.ts,423,2465,14
packages/internal-test-utils/__tests__/ReactInternalTestUtils-test.js,421,1116,5
flow-typed/environments/cssom.js,414,0,1
compiler/packages/react-forgive/server/yarn.lock,411,85,3
packages/react-dom/src/__tests__/ReactDOMUseId-test.js,409,93,4
compiler/packages/babel-plugin-react-compiler/src/Entrypoint/ValidateNoUntransformedReferences.ts,405,405,13
packages/react-server-dom-webpack/src/__tests__/ReactFlightDOM-test.js,403,206,16
compiler/fault-tolerance-overview.md,402,402,10
packages/react-dom/src/__tests__/ReactDOMInput-test.js,399,320,2
packages/react-dom/src/__tests__/ReactDOMServerPartialHydration-test.internal.js,397,30,14
packages/eslint-plugin-react-hooks/src/rules/ReactCompiler.ts,389,389,8
packages/eslint-plugin-react-hooks/src/{ExhaustiveDeps.js => ExhaustiveDeps.ts},388,243,1
packages/react-reconciler/src/__tests__/ReactUse-test.js,383,220,4
packages/react-devtools-shared/src/backend/utils/parseStackTrace.js,382,16,4
compiler/packages/babel-plugin-react-compiler/src/Entrypoint/Pipeline.ts,380,363,36
packages/react-flight-server-fb/src/server/ReactFlightDOMServerNode.js,379,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/51-validateExhaustiveDependencies.md,376,0,1
packages/react-reconciler/src/ReactProfilerTimer.js,369,86,14
packages/react-devtools-shared/src/backend/agent.js,366,121,11
