entity,age-months
fixtures/flight-ssr-bench/src/entry-rsc.js,1
packages/react-native-renderer/src/ReactNativeResponder.js,1
fixtures/flight-ssr-bench/yarn.lock,1
packages/react/src/__tests__/ReactMismatchedVersions-test.js,1
compiler/apps/playground/__tests__/parseConfigOverrides.test.mjs,1
compiler/apps/playground/lib/defaultStore.ts,1
compiler/packages/babel-plugin-react-compiler/src/Inference/InferMutationAliasingEffects.ts,1
compiler/apps/playground/__tests__/e2e/__snapshots__/page.spec.ts/default-config.txt,1
packages/react-native-renderer/src/ReactNativeFiberHostComponent.js,1
packages/react-native-renderer/src/__mocks__/react-native/Libraries/ReactPrivate/TextInputState.js,1
fixtures/flight-ssr-bench/src/components/Shell.js,1
packages/react-native-renderer/src/ReactNativeGlobalResponderHandler.js,1
packages/react-reconciler/src/ReactFiberConcurrentUpdates.js,1
compiler/apps/playground/lib/compilation.ts,1
.gitignore,1
packages/react-native-renderer/src/__tests__/createReactNativeComponentClass-test.internal.js,1
packages/react-native-renderer/src/__tests__/ReactNativeEvents-test.internal.js,1
scripts/rollup/build.js,1
packages/react-refresh/src/__tests__/ReactFresh-test.js,1
packages/react-native-renderer/index.js,1
packages/shared/forks/ReactFeatureFlags.eslint-plugin.www.js,1
packages/react-dom/src/__tests__/ReactDOMSelect-test.js,1
packages/react-reconciler/src/ReactFiberNewContext.js,1
scripts/flags/flags.js,1
packages/react-native-renderer/src/ReactFiberConfigFabricWithViewTransition.js,1
packages/eslint-plugin-react-hooks/src/shared/ReactFeatureFlags.d.ts,1
packages/react-devtools-shared/src/frontend/types.js,1
fixtures/flight-ssr-bench/src/components/TableHeader.js,1
packages/react-reconciler/src/__tests__/ReactDeferredValue-test.js,1
fixtures/flight-ssr-bench/webpack.config.js,1
fixtures/flight-ssr-bench/src/components/ActivityItem.js,1
fixtures/flight-ssr-bench/src/components/data.js,1
scripts/rollup/forks.js,1
packages/react-native-renderer/src/__mocks__/react-native/Libraries/ReactPrivate/Platform.js,1
packages/react-native-renderer/src/__tests__/ReactFabric-test.internal.js,1
packages/react-native-renderer/src/legacy-events/PluginModuleType.js,1
fixtures/flight-ssr-bench/package.json,1
fixtures/flight-ssr-bench/webpack-mock.js,1
scripts/flow/react-native-host-hooks.js,1
packages/eslint-plugin-react-hooks/tsconfig.json,1
packages/react-reconciler/src/__tests__/ReactContextPropagation-test.js,1
compiler/packages/babel-plugin-react-compiler/src/__tests__/Logger-test.ts,1
fixtures/flight-ssr-bench/src/components/Footer.js,1
fixtures/flight-ssr-bench/src/components/Badge.js,1
fixtures/flight-ssr-bench/src/components/ProductTable.js,1
packages/react-reconciler/src/ReactFiberBeginWork.js,1
packages/react-dom/src/__tests__/ReactDOMFizzServer-test.js,1
packages/react-reconciler/src/__tests__/ReactFlushSync-test.js,1
scripts/rollup/shims/react-native/ReactNative.js,1
packages/react-native-renderer/src/__tests__/ReactNativeAttributePayload-test.internal.js,1
fixtures/flight-ssr-bench/src/components/TableRow.js,1
packages/react/src/ReactAct.js,1
