entity,coupled,degree,average-revs
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientEdge.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientNode.js,90,10
packages/react/src/ReactSharedInternalsClient.js,packages/react/src/ReactTransitionType.js,90,6
packages/react/index.stable.development.js,packages/react/index.stable.js,90,6
packages/shared/forks/ReactFeatureFlags.native-fb.js,packages/shared/forks/ReactFeatureFlags.native-oss.js,89,58
packages/shared/ReactFeatureFlags.js,packages/shared/forks/ReactFeatureFlags.test-renderer.js,89,58
packages/shared/forks/ReactFeatureFlags.native-fb.js,packages/shared/forks/ReactFeatureFlags.test-renderer.native-fb.js,89,56
packages/shared/forks/ReactFeatureFlags.native-oss.js,packages/shared/forks/ReactFeatureFlags.test-renderer.native-fb.js,89,55
packages/shared/ReactFeatureFlags.js,packages/shared/forks/ReactFeatureFlags.native-oss.js,88,59
packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientEdge.js,88,9
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientEdge.js,88,9
packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientEdge.js,88,9
packages/react-devtools/CHANGELOG.md,packages/react-devtools/package.json,88,9
packages/react-devtools-inline/package.json,packages/react-devtools-timeline/package.json,88,9
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientEdge.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,88,9
packages/react-devtools-timeline/package.json,packages/react-devtools/package.json,88,9
packages/react-devtools-core/package.json,packages/react-devtools-inline/package.json,88,9
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientEdge.js,88,9
packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientEdge.js,88,9
packages/react-devtools-core/package.json,packages/react-devtools/package.json,88,9
packages/react-devtools-inline/package.json,packages/react-devtools/CHANGELOG.md,88,9
packages/shared/forks/ReactFeatureFlags.test-renderer.js,packages/shared/forks/ReactFeatureFlags.test-renderer.native-fb.js,87,54
packages/react-server-dom-esm/src/server/ReactFlightDOMServerNode.js,packages/react-server-dom-parcel/src/server/ReactFlightDOMServerNode.js,87,8
packages/react-server-dom-parcel/src/server/ReactFlightDOMServerNode.js,packages/react-server-dom-webpack/src/server/ReactFlightDOMServerNode.js,87,8
packages/shared/forks/ReactFeatureFlags.native-fb.js,packages/shared/forks/ReactFeatureFlags.www.js,86,60
packages/react/index.experimental.development.js,packages/react/src/ReactClient.js,86,12
packages/shared/forks/ReactFeatureFlags.native-fb.js,packages/shared/forks/ReactFeatureFlags.test-renderer.js,85,57
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientEdge.js,85,11
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientEdge.js,85,11
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientEdge.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientNode.js,85,11
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientEdge.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientNode.js,85,11
packages/eslint-plugin-react-hooks/__tests__/ESLintRuleExhaustiveDeps-test.js,packages/eslint-plugin-react-hooks/src/rules/ExhaustiveDeps.ts,85,7
packages/react-server-dom-esm/src/server/ReactFlightDOMServerNode.js,packages/react-server-dom-webpack/src/server/ReactFlightDOMServerNode.js,85,7
packages/shared/forks/ReactFeatureFlags.native-oss.js,packages/shared/forks/ReactFeatureFlags.www.js,84,59
packages/shared/forks/ReactFeatureFlags.test-renderer.js,packages/shared/forks/ReactFeatureFlags.www.js,84,58
packages/shared/forks/ReactFeatureFlags.test-renderer.native-fb.js,packages/shared/forks/ReactFeatureFlags.www.js,84,57
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientEdge.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,84,10
